Title,Published_date,Views,Likes,Comments,Month
Will Data Science Be Automated? #shorts,2023-01-27,3498,126,2,Jan
Is Data Science A Good Fit For You? #shorts,2023-01-25,3191,125,6,Jan
5 Books I Wish I Read Earlier In My Career,2023-01-23,4858,325,40,Jan
How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,3127,256,10,Jan
What Data Science Tool Would I Learn First? #shorts,2023-01-17,4023,224,8,Jan
How long does it take to become a Data Scientist? #shorts,2023-01-12,3407,230,6,Jan
Where & how to start your Data Science Journey #shorts,2023-01-09,3444,196,2,Jan
How I Would NOT Learn Data Science in 2023.,2023-01-03,59145,2277,192,Jan
The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4057,172,24,Dec
The Essential Programming Concepts For Learning Data Science,2022-11-14,17258,733,46,Nov
The Data Content House: What You Missed,2022-10-07,9700,333,56,Oct
Is Data Science A Good Career?,2022-09-29,44310,1493,118,Sep
IRON ANALYST (Teaser) #shorts,2022-09-27,4728,310,24,Sep
When a New Data Scientist Joins The Team,2022-08-29,15253,690,128,Aug
State of Data Science - Web Data,2022-08-05,10255,361,34,Aug
Data Science Town Hall - State of Data Science,2022-08-04,9807,377,38,Aug
The Programming Roadmap For Data Science,2022-07-29,18166,983,55,Jul
5 Impactful Data Science Projects For Your Portfolio,2022-06-27,41053,1895,85,Jun
Machine Learning Saves My Baseball Career?,2022-06-10,7119,326,68,Jun
Every Data Scientist... (funny!),2022-05-24,14768,810,144,May
State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15892,429,65,May
Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,41510,1168,81,Apr
Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,18275,794,99,Mar
Data Scientists VS NFT Scam,2022-03-03,4496,187,51,Mar
When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,10507,494,144,Feb
What Professional Data Scientists ACTUALLY Do,2022-02-14,86032,3015,183,Feb
Can You Analyze My Data Better Than I Can?,2022-01-31,6567,309,62,Jan
Giving Back to My Most Engaged Subscribers!,2022-01-28,2279,117,89,Jan
How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,17077,659,92,Jan
Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8534,418,85,Jan
Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8040,236,32,Jan
The Only Data Science Explanation You Need,2022-01-10,32215,1824,165,Jan
We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14139,642,144,Jan
How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,317252,14186,518,Dec
What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,9045,360,63,Dec
How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,7535,534,25,Dec
How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,23320,1137,152,Dec
Why Is Data Engineering So HOT Right Now?,2021-11-26,28413,1067,141,Nov
Is Data Science Dying?,2021-11-19,110791,3570,347,Nov
7 Incredible Books That Transformed My Health and My Life,2021-11-12,7793,386,112,Nov
Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3584,200,48,Nov
Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,10417,257,33,Oct
ML Ops: What is it REALLY?,2021-10-22,5576,248,61,Oct
Business Skills for Data Science: What are they REALLY?,2021-10-18,6497,291,50,Oct
#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2193,123,5,Oct
Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5626,277,67,Oct
Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12218,525,112,Aug
Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,9159,377,32,Aug
Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,36124,1376,29,Aug
How I Learned to Learn.,2021-07-31,48264,2265,208,Jul
Is Spotify Shuffle Really Random? #Shorts,2021-07-21,9267,522,49,Jul
I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2357,93,30,Jul
Why are APIs Important for Data Science?,2021-07-09,8922,430,95,Jul
Is Your Phone REALLY Listening to You?,2021-07-03,4985,278,118,Jul
Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,12727,544,121,Jun
#66DaysOfData - 3 Reasons to Start!,2021-06-18,3980,221,41,Jun
#66DaysOfData - What is it? #shorts,2021-06-11,8428,365,54,Jun
A Quick Data Science Project Tip! #SHORTS,2021-06-03,15193,873,89,Jun
Discouraged with Data Science? - Watch THIS video.,2021-05-28,7333,390,197,May
How Data Science Projects Pay Off,2021-05-22,10181,584,146,May
How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10254,478,134,May
What is a lambda function (python)? #shorts,2021-05-13,12612,777,49,May
Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,20837,1039,58,May
What is Pandas? (Data & Data Science) #shorts,2021-04-30,20200,943,88,Apr
The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,72451,3244,279,Apr
Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,22904,673,85,Apr
Why You Probably Won't Become a Data Scientist,2021-04-09,131181,3843,486,Apr
How to Go From Data Analyst to Data Scientist,2021-04-02,50646,1449,175,Apr
Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3888,137,92,Mar
MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,16633,334,107,Mar
My Regrets as a Data Science Student,2021-03-12,23266,852,112,Mar
My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3787,193,83,Mar
What is the Future of my Comment Leaderboard Project?,2021-02-26,5503,201,81,Feb
How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6245,163,51,Feb
Why I Quit Data Science,2021-02-12,103635,2331,347,Feb
🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,9557,472,114,Jan
How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6934,294,126,Jan
Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,8922,287,52,Jan
Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,20500,670,134,Jan
Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,34115,1089,147,Jan
What is the #66DaysOfData?,2020-12-26,67283,2264,210,Dec
How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,130543,5966,494,Dec
Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10508,391,136,Dec
I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,22946,715,328,Dec
7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,25551,791,166,Nov
6 Lessons from #66DaysOfData,2020-11-13,6651,341,95,Nov
100K Channel Update + AMA Stream!,2020-11-12,2317,127,24,Nov
Find a Data Science Project With These 3 Techniques,2020-11-06,15892,689,104,Nov
How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,24537,636,153,Oct
git for Data Science Made Simple... (Hopefully),2020-10-23,17190,804,92,Oct
The PODCAST you might have asked for?,2020-10-19,2071,94,44,Oct
Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6612,444,113,Oct
Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,12969,381,48,Oct
Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6280,140,62,Oct
5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,9748,515,81,Oct
Sh*t Data Scientists Say (Parody),2020-10-05,9217,569,143,Oct
5 Proven Strategies to Break into a Data Science Job,2020-10-02,8530,366,93,Oct
Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,6984,287,61,Sep
Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,10996,285,69,Sep
5 Essential Data Science Projects for Your Portfolio,2020-09-26,68820,2985,208,Sep
His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5097,194,66,Sep
Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,10204,410,58,Sep
"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7267,247,34,Sep
Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5046,193,56,Sep
Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4046,155,35,Sep
The 5 Pillars of Success I Live By,2020-09-11,10050,869,152,Sep
Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1875,78,25,Sep
Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3925,158,43,Sep
How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11453,724,142,Sep
How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,17674,566,89,Sep
